City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,16.45,45,33,1.01,scattered clouds
1,Sechura,PE,-5.5569,-80.8222,80.42,57,93,13.56,overcast clouds
2,Jamestown,US,42.097,-79.2353,14.52,35,0,12.66,clear sky
3,Cockburn Town,TC,21.4612,-71.1419,78.76,73,40,6.91,scattered clouds
4,Vaini,TO,-21.2,-175.2,80.33,69,94,15.28,overcast clouds
5,Sao Filipe,CV,14.8961,-24.4956,72.75,70,100,8.5,overcast clouds
6,Fortuna,US,40.5982,-124.1573,56.48,85,75,10.36,broken clouds
7,Chhindwara,IN,22.0667,78.9333,59.97,40,5,3.83,clear sky
8,Leningradskiy,RU,69.3833,178.4167,-16.64,90,71,5.66,broken clouds
9,Saskylakh,RU,71.9167,114.0833,-19.98,86,93,2.42,overcast clouds
10,New Norfolk,AU,-42.7826,147.0587,63.88,67,97,1.01,overcast clouds
11,Lakes Entrance,AU,-37.8811,147.981,70.16,68,4,5.32,clear sky
12,Kruisfontein,ZA,-34.0033,24.7314,65.28,82,70,12.39,broken clouds
13,Busselton,AU,-33.65,115.3333,66.04,71,0,12.15,clear sky
14,Saint-Philippe,RE,-21.3585,55.7679,80.15,85,98,13.06,light rain
15,Tiksi,RU,71.6872,128.8694,-14.84,89,23,2.37,few clouds
16,Luanda,AO,-8.8368,13.2343,77.11,86,73,3.69,broken clouds
17,Georgetown,MY,5.4112,100.3354,77.9,93,40,5.75,scattered clouds
18,Kapaa,US,22.0752,-159.319,77.47,63,0,10.36,clear sky
19,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,20,9.22,few clouds
20,Phrae,TH,18.0833,100,71.67,78,28,2.17,scattered clouds
21,Bredasdorp,ZA,-34.5322,20.0403,68.29,73,66,16.11,broken clouds
22,Ulladulla,AU,-35.35,150.4667,72.5,54,0,6.85,clear sky
23,Orocue,CO,4.7912,-71.3354,88.43,36,90,6.98,overcast clouds
24,Cedar Rapids,US,42.0083,-91.6441,30.31,63,0,9.22,clear sky
25,Robertsport,LR,6.7533,-11.3686,80.2,84,44,8.7,scattered clouds
26,Lebu,CL,-37.6167,-73.65,61.29,83,3,7.65,clear sky
27,Barrow,US,71.2906,-156.7887,-32.78,100,0,8.05,clear sky
28,Chuy,UY,-33.6971,-53.4616,66.7,78,0,6.4,clear sky
29,Faanui,PF,-16.4833,-151.75,80.8,76,100,16.51,light rain
30,Loznica,RS,44.5342,19.2242,40.41,79,82,5.35,broken clouds
31,Malinovoye Ozero,RU,51.6753,79.7825,25.93,87,100,16.2,light snow
32,Tocopilla,CL,-22.092,-70.1979,70.66,73,60,7.92,broken clouds
33,Nikolskoye,RU,59.7035,30.7861,36.72,86,100,9.04,overcast clouds
34,Patu,BR,-6.11,-37.6367,80.98,64,57,12.24,broken clouds
35,Anshun,CN,26.25,105.9333,42.76,89,100,6.42,overcast clouds
36,Rundu,NA,-17.9333,19.7667,65.28,94,86,2.19,overcast clouds
37,Qaanaaq,GL,77.484,-69.3632,-3.03,99,100,4.09,overcast clouds
38,Cherskiy,RU,68.75,161.3,-30.28,100,97,5.99,overcast clouds
39,Takoradi,GH,4.8845,-1.7554,79.16,84,100,7.43,overcast clouds
40,Nishihara,JP,26.1842,127.7558,60.08,70,75,6.91,broken clouds
41,Hilo,US,19.7297,-155.09,78.24,68,100,5.99,overcast clouds
42,Fort-Shevchenko,KZ,44.5086,50.263,35.73,69,44,5.77,scattered clouds
43,Bilma,NE,18.6853,12.9164,67.98,13,4,8.7,clear sky
44,Lata,PT,40.1629,-8.3327,45.05,95,11,0.49,few clouds
45,Kushima,JP,31.4583,131.2333,44.64,76,0,8.57,clear sky
46,Katsuura,JP,35.1333,140.3,40.1,64,79,6.13,broken clouds
47,Ankara,TR,39.9199,32.8543,34.99,75,75,3.44,broken clouds
48,Ixtapa,MX,20.7,-105.2,79.83,57,20,10.36,few clouds
49,Lebedyn,UA,50.5852,34.4849,19.81,84,15,5.84,few clouds
50,Punta Arenas,CL,-53.15,-70.9167,57.31,58,40,28.77,scattered clouds
51,Hermanus,ZA,-34.4187,19.2345,76.89,81,8,12.97,clear sky
52,Gander,CA,48.9682,-54.5906,12.58,85,100,20,overcast clouds
53,Nelson Bay,AU,-32.7167,152.15,79.09,68,45,1.99,scattered clouds
54,Hobart,AU,-42.8794,147.3294,64.22,75,75,9.22,broken clouds
55,Avera,US,33.194,-82.5271,57.88,45,0,6.73,clear sky
56,Carnarvon,AU,-24.8667,113.6333,78.87,89,8,4.61,clear sky
57,Polson,US,47.6936,-114.1632,42.12,69,86,4,light rain
58,Sidi Ali,DZ,36.0998,0.4206,52.02,77,21,7.18,few clouds
59,Maldonado,UY,-34.6667,-54.9167,74.59,64,0,1.21,clear sky
60,Yellowknife,CA,62.456,-114.3525,-5.58,86,100,5.75,light snow
61,Ternate,ID,0.8,127.4,79.59,80,100,2.71,overcast clouds
62,Wanxian,CN,30.8039,108.3897,47.32,76,79,3.11,broken clouds
63,Mataura,NZ,-46.1927,168.8643,68.49,38,90,3,overcast clouds
64,Talnakh,RU,69.4865,88.3972,-12.64,83,36,7.47,scattered clouds
65,Ushuaia,AR,-54.8,-68.3,51.46,50,75,17.27,broken clouds
66,Arona,ES,28.0996,-16.681,59.31,81,75,17.27,broken clouds
67,Rikitea,PF,-23.1203,-134.9692,78.67,68,52,9.93,light rain
68,Saint George,US,37.1041,-113.5841,72.07,13,0,3.44,clear sky
69,Port Augusta,AU,-32.5,137.7667,85.71,49,95,11.9,overcast clouds
70,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,10.36,haze
71,Turtas,RU,58.9417,69.1325,-14.96,99,52,3.71,broken clouds
72,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,13.8,light rain
73,Atuona,PF,-9.8,-139.0333,78.48,69,4,16.75,clear sky
74,Vao,NC,-22.6667,167.4833,78.96,84,57,21.21,broken clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,40,14.97,scattered clouds
76,Pevek,RU,69.7008,170.3133,-22.79,99,100,5.44,overcast clouds
77,Shimoda,JP,34.6667,138.95,40.1,64,13,3.2,few clouds
78,Te Anau,NZ,-45.4167,167.7167,67.93,35,92,2.42,light rain
79,Yulara,AU,-25.2406,130.9889,78.64,44,40,5.75,scattered clouds
80,Nhulunbuy,AU,-12.2333,136.7667,86.61,66,25,9.22,scattered clouds
81,Geraldton,AU,-28.7667,114.6,79.21,69,0,4.61,clear sky
82,Bluff,NZ,-46.6,168.3333,69.8,70,96,7.74,overcast clouds
83,Fruitville,US,27.3298,-82.4576,66.18,33,0,8.05,clear sky
84,Saint-Augustin,CA,51.226,-58.6502,2.43,83,100,10.47,overcast clouds
85,Jining,CN,35.405,116.5814,29.82,83,100,5.73,overcast clouds
86,Nemuro,JP,43.3236,145.575,22.24,75,84,12.44,broken clouds
87,Dingle,PH,10.9995,122.6711,74.97,90,74,6.42,broken clouds
88,Upernavik,GL,72.7868,-56.1549,-12.1,84,100,16.89,overcast clouds
89,San Quintin,MX,30.4833,-115.95,68.58,48,0,11.63,clear sky
90,Port Keats,AU,-14.25,129.55,80.28,82,1,6.02,clear sky
91,Cape Town,ZA,-33.9258,18.4232,77.11,71,0,2.3,clear sky
92,Arlit,NE,18.7369,7.3853,72.81,9,0,8.3,clear sky
93,Butaritari,KI,3.0707,172.7902,82.18,74,84,15.48,broken clouds
94,Codrington,AU,-38.2667,141.9667,64.92,60,57,13.73,broken clouds
95,Dikson,RU,73.5069,80.5464,-6.14,93,100,17.27,overcast clouds
96,Airai,TL,-8.9266,125.4092,61.9,80,9,2.91,clear sky
