City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sechura,PE,80.42,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
3,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
4,Vaini,TO,80.33,overcast clouds,-21.2,-175.2,Keleti Beach Resort
14,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Luanda,AO,77.11,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
17,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
18,Kapaa,US,77.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
25,Robertsport,LR,80.2,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
29,Faanui,PF,80.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Patu,BR,80.98,broken clouds,-6.11,-37.6367,Pousada Cidade do Sol
39,Takoradi,GH,79.16,overcast clouds,4.8845,-1.7554,Raybow International Hotel
41,Hilo,US,78.24,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
48,Ixtapa,MX,79.83,few clouds,20.7,-105.2,hotel la terminal
51,Hermanus,ZA,76.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
53,Nelson Bay,AU,79.09,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
56,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
61,Ternate,ID,79.59,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
67,Rikitea,PF,78.67,light rain,-23.1203,-134.9692,People ThankYou
69,Port Augusta,AU,85.71,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
72,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
73,Atuona,PF,78.48,clear sky,-9.8,-139.0333,Villa Enata
74,Vao,NC,78.96,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
79,Yulara,AU,78.64,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
80,Nhulunbuy,AU,86.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
81,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
90,Port Keats,AU,80.28,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
91,Cape Town,ZA,77.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
93,Butaritari,KI,82.18,broken clouds,3.0707,172.7902,Isles Sunset Lodge
98,Daru,PG,83.52,overcast clouds,-9.0763,143.2092,Daru Lodge
99,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
100,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
105,Kirakira,SB,82.78,overcast clouds,-10.4544,161.9205,SanBiz Lodge
108,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
120,Namibe,AO,76.78,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
122,Nicoya,CR,83.75,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
126,Meulaboh,ID,75.24,overcast clouds,4.1363,96.1285,Kost Pria
137,Tadine,NC,83.3,broken clouds,-21.55,167.8833,
138,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
141,Carutapera,BR,75.67,moderate rain,-1.195,-46.02,Lidera
147,Gorontalo,ID,76.01,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
150,Salinopolis,BR,78.04,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
151,Ojinaga,MX,75.58,clear sky,29.5667,-104.4167,Suites Las Palmas
156,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
157,Bengkulu,ID,75.02,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
163,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
168,Sibolga,ID,75.54,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
171,Linares,CL,81.34,clear sky,-35.85,-71.6,Hotel Real
172,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.0833,Scoop Guest House
180,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
184,Vanimo,PG,77.77,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
185,Singkawang,ID,75.88,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
190,Kerema,PG,81.36,broken clouds,-7.9631,145.7785,Frena Lodge
196,San-Pedro,CI,77.43,overcast clouds,4.7485,-6.6363,Hotel Maria
197,Benguela,AO,77.81,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
